items,labels
据 左传 记载 春秋 后期 鲁国 大夫 季孙氏 的 家臣 阳虎 独掌 权柄 后 标榜 要 替 鲁国 国君 整肃 跋扈 的 大夫 此举 不仅 得不到 知礼 之士 的 赞成 反而 受到 批评 因为 此举 挑战 了 宗法制度 损害 了 大夫 利益 冲击 了 天子 权威 不 符合 周礼 规定,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 中央官制三公九卿制 皇帝制度
秦始皇 统一 六国后 创制 了 一套 御玺 如 任命 国家 官员 则 封印 皇帝 之玺 若 任命 四夷 的 官员 则 用 天子 之玺 信玺 用于 对 国内 和 四夷 用兵 事宜 行玺 则 为 皇帝 外 巡时 随身携带 材料 不能 说明 皇帝 处于 至高无上 的 地位 秦朝 有 内外 两种 系统 处理 国事 秦朝 实行 中央集权 的 体制 三公九卿 制 大大 提升 行政效率,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 中央官制三公九卿制 秦始皇 皇帝制度
北宋 加强 中央集权 的 主要 措施 有 把 主要 将领 的 兵权 收归 中央 派 文官 担任 地方 长官 设置 通判 监督 地方 掌控 地方 赋税,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 选官用官制度的变化 中央官制三公九卿制 皇帝制度
商朝人 崇信 各种 鬼神 把 占卜 祭祀 作为 与 神灵 沟通 的 手段 负责 通神 事务 的 是 商王 和 巫师 往往 出身 贵族 ． 在 商代 王是 人 也 是 神 既 是 王朝 的 元首 又 是 群 巫之长 上述 材料 最能 说明 神灵 主导 着 商朝 的 人事 商王 垄断 神权 来 强化 王权 祭神 是 生产力 落后 的 结果 商朝 阶级矛盾 比较 尖锐,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 中央官制三公九卿制 皇帝制度
公元 年 北宋 政府 在 江淮地区 设置 了 包括 盐业 管理 以及 控制 对 茶叶 销售 的 专卖 等 为 主要职责 的 转运 使 一职 年 置 诸路 转运 使 以后 又 使 转运 使 逐渐 变为 地方 行政长官 转运 使 的 设置 表明 宋朝 对 地方 的 控制 日益 加强 转运 使 逐渐 有 监督 知州 之责 宋朝 地方分权 矛盾 得到 缓解 转运 使 在 当时 地位 举足轻重 通判 对 知州 具有 监督 职责 故项 错误 项 说法 错误 错 在 缓解 材料 中 没有 体现 出 转运 使 的 地位 故项 排除 所以 答案 是,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 选官用官制度的变化 中央官制三公九卿制 皇帝制度
左传 有云昔 周公 大公 股肱 周室 夹辅成 王成 王劳 之 而 赐 之盟 曰 世世 子孙 无相害 也 载 在 盟府 大师 职之 材料 表明 周天子 建立 起 绝对 权威 的 统治 秩序 西周 中枢 管理机构 与 蛮夷 之间 的 关系 西周 贵族 实行 集体 统治 的 基本 方式 同姓 与 异姓 诸侯 权利 与 义务 的 差异,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 中央官制三公九卿制 皇帝制度
某一 同学 在 研究性 学习 过程 中 搜集 了 如下 一组 图片 据此 判断 他 的 研究 主题 是 中国 古代 皇权 至上 立宪 君主 地位 尊贵 平民 领袖 平实 民主 中外 建筑 政治 文化,高中 历史 古代史 明清君主专制制度的加强 秦始皇 议会权力的确立 重农抑商政策 郡县制 夏商两代的政治制度 英国责任内阁制的形成 英国国会与国王的殊死搏斗 责任制内阁的形成 中央官制三公九卿制 皇帝制度 海峡两岸关系的发展
古人 对 秦朝 短期 而亡 的 主要 原因 的 分析 最 准确 的 是 废先 王之道 燔 百家 之言以 愚 黔首 四维 礼义廉耻 不张 故 万民 离叛 乃 举措 暴众 而 刑 太极 故 也 所以 殄灭 而 降辱者 亡于 六国 之后 也,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 中央官制三公九卿制 秦始皇 皇帝制度
汉书 武帝纪 记载 春 正月 诏 曰 梁王 城阳 王亲 慈同 生愿 以 邑 分弟 其许 之 诸侯王 与 子弟 邑 者 朕 将 亲览 使 有 列位 焉 于是 藩国 始分 而 子弟 比侯 矣 这 在 当时 的 最 主要 影响 是 推动 封建 自然经济 迅速 发展 解决 了 中央 与 地方 之间 的 矛盾 促成 儒家思想 成为 统治 思想 加强 中央集权 维护 国家 统一,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 选官用官制度的变化 中央官制三公九卿制 皇帝制度
元代 行省 的 设置 无视 历来 与 划界 密切相关 的 几条 最 重要 的 山川 边界 秦岭 淮河 南岭 太行山 等 的 存在 陕西 行省 越过 秦岭 而 有 汉中盆地 江西 行省 跨过 南岭 而 有 广东 江浙 行省 从 江南 平原 逶迤 直到 福建 山地 统治者 这么 划分 的 主要 意图 是 便于 中央 直接 管理 实行 民族 分化 政策 推行 汉蒙 二元 统治 防止出现 地方 割据,高中 历史 古代史 重农抑商政策 郡县制 夏商两代的政治制度 选官用官制度的变化 中央官制三公九卿制 皇帝制度
