items,labels
年 政府 工作 报告 提出 缩小 收入 分配 差距 使 发展 成果 更 多 更 公平 地 惠及 全体 人民 这 与 以往 政府 提出 的 尽快 扭转 收入 差距 扩大 趋势 相比 有 了 一个 更 高 的 视角 下列 对 收入 分配 差距 认识 正确 的 是 收入 分配 差距 的 存在 违背 了 社会主义 的 本质 要求 收入 分配 差距 过大 违背 了 公平 原则 不利于 社会 稳定 适度 的 收入 分配 差距 有利于 激发 劳动者 的 生产 积极性 消除 收入 差距 是 社会 土义 市场经济 的 根本 目标,高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求 劳动就业与守法经营
做 蛋糕 与 分 蛋糕 是 经济社会 面临 的 最 基本 的 问题 之一 既要 把 蛋糕 做 大 又 要 把 蛋糕 分 好 蛋糕 分 得 不合理 会 影响 人们 把 蛋糕 做 大 的 积极性 上述 材料 要求 我们 必须 [ ] 正确处理 效率 与 公平 的 关系 正确处理 积累 与 消费 的 关系 正确处理 集体 与 个人 的 关系 正确处理 发展 生产 与 保障 基本 生活 的 关系,高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求
材料 最近 常有 手机用户 收到 一些 以 老朋友 名义 发来 的 短信 这些 短信 极易 引诱 收信人 回复 或 回电 而 只要 手机用户 一旦 回复 或 回电 一笔 不小 的 话费 就 会 被 冠以 某某 业务 的 名义 扣除 与 前 两年 相比 现在 的 短信 陷阱 骗术 升级 业内人士 提醒 发现 内容 中有 这 是 我 的 新 手机号码 但 没有 署名 的 短信 需谨慎 回复 发现 号码 陌生 且 内容 中 无 熟悉 署名 的 短信 尽量 勿 回 一些 只响 一两声 就 停 的 陌生 电话号码 也 勿 回拨 结合 材料 运用 所学 的 经济 生活 中 市场主体 的 有关 知识 谈谈 如何 促进 短信 市场 的 健康 发展 分,高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求 劳动就业与守法经营
家庭 是 人生 的 第一 课堂 父母 是 子女 的 第一任 教师 家庭教育 对 子女 的 健康成长 乃至 终生 都 有 不可 替代 的 重要 影响 父母 对待 子女 要 做到 抚养 好 子女教育 好 子女 管教好 子女 保护 好 子女,高中 政治 公民道德与伦理常识 公民的道德生活
社会主义 市场经济 是 什么 是 指 市场 在 国家 下 对 资源配置 起 作用 的 经济 社会主义 市场经济 有何 基本特征 坚持 的 主体 地位 是 基本 标志 以为 根本 目标 能够 实行 的 宏观调控 显著 特征,高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求 劳动就业与守法经营
科学 难题 征集 活动 有利于 激发 青少年 探索 未知 世界 的 好奇心 培育 青少年 科技 创新 意识 引导 他们 超越 已有 书本知识 否定 科学 理论 权威 拓展 自由 想象 空间 摆脱 已有 思想观念 关注 当代 科学 现状 探寻 科学 发展 的 新思路 培育 科学 问题 意识 发现 科学 发展 的 突破点,高中 政治 公民道德与伦理常识 面对科技进步的伦理冲突
春节 前 往往 是 商品销售 的 旺季 为了 争夺 节日 市场 一些 商家 竞相 打折 狂送 推出 买一送一 特价 三折 等 优惠 措施 在 商家 热闹 的 同时 物价部门 也 是 门庭若市 不断 有 消费者 投诉 部分 商品 存在 虚标 原价 假 打折 以次充好 等 现象 这种 虚标 原价 假 打折 等 现象 违背 了 原则 诚实信用 原则 平等 原则 效率 原则 自愿 原则,高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求
公平正义 是 社会 和谐 的 基本 条件 针对 收入 分配 领域 存在 的 一些 不容忽视 的 问题 近年来 党和国家 采取 向 农民 发放 种粮 补贴 全面 取消 农业税 提高 最低工资 标准 和 城市 最低 生活 保障 水平 调 高 个人所得税 工资 薪金 所得 减除 标准 免除 农村 义务教育 阶段 学生 学杂费 改革 公务员 工资制度 等 有力 措施 加大 收入 分配制度 改革 力度 合理 调整 国民收入 分配 格局 更加 关注 社会 公平 从 收入 分配 的 角度 说明 国家 应 如何 更加 重视 社会 公平,高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求
下面 这 幅 漫画 主要 揭示 了 转基因 技术 带来 的 伦理 问题 克隆技术 带来 的 伦理 问题 试管婴儿 代孕 母亲 现象 的 出现 所 带来 的 伦理 问题 器官移植 技术 带来 的 伦理 问题,高中 政治 公民道德与伦理常识 面对科技进步的伦理冲突
年 是 中国共产党 成立 周年 也 是 实施 十二五 规划 的 开局 之 年 阅读 下列 材料 并 回答 问题 材料 一 中共中央 关于 制定 国民经济 和 社会 发展 第十二个 五年 规划 的 建议 强调 深入 贯彻 科学 发展观 顺应 各族人民 过上 更 美好生活 的 新 期待 使 发展 成果 惠及 全体 中国 人民 请 你 概括 上述 两图 反映 的 共同 经济 信息 材料 二 山东省 Z 市 提升 传统产业 采取 了 以下 措施 一是 加大 技术创新 研发 投入 和 核心技术 研发 力度 并 与 高等院校 科研院所 开展 广泛 的 技术 人才 合作 与 交流 二是 推动 信息技术 与 传统产业 结合 互联网 和 计算机辅助 设计 在 纺织 化工 等 传统 企业 得到 广泛应用 三是 提高 传统 行业 技术装备 水平 使 工业 万元 增加值 能耗 由 原来 的 吨 标准煤 下降 到 年 的 吨 标准煤 从而 使 传统产业 脱胎换骨 迸发出 了 新 的 发展 活力 结合 上述 措施 运用 经济 生活 知识 说明 Z 市是 如何 提升 传统产业 实现 科学 发展 的,高中 政治 公民道德与伦理常识 社会主义市场经济的伦理要求
